shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10199,45.430412,-75.729044,100004
10199,45.430394,-75.728993,100005
10199,45.430386,-75.728942,100006
10199,45.430377,-75.728878,100007
10199,45.430378,-75.728763,100008
10199,45.430387,-75.728699,100009
10199,45.430405,-75.728661,100010
10199,45.430424,-75.728623,100011
10199,45.430478,-75.728534,100012
10199,45.430505,-75.728521,100013
10199,45.430541,-75.728496,100014
10199,45.430649,-75.728498,100015
10199,45.430685,-75.728511,100016
10199,45.430721,-75.728537,100017
10199,45.430748,-75.728563,100018
10199,45.430775,-75.728589,100019
10199,45.430998,-75.728924,100020
10199,45.431096,-75.729040,100021
10199,45.431150,-75.729079,100022
10199,45.431195,-75.729106,100023
10199,45.431240,-75.729132,100024
10199,45.431293,-75.729145,100025
10199,45.431347,-75.729146,100026
10199,45.431393,-75.729134,100027
10199,45.431447,-75.729096,100028
10199,45.431492,-75.729084,100029
10199,45.431537,-75.729046,100030
10199,45.431672,-75.729022,100031
10199,45.431726,-75.728997,100032
10199,45.431799,-75.728960,100033
10199,45.431826,-75.728947,100034
10199,45.431871,-75.728897,100035
10199,45.431917,-75.728834,100036
10199,45.431944,-75.728796,100037
10199,45.431971,-75.728732,100038
10199,45.431990,-75.728656,100039
10199,45.432147,-75.727980,100040
10199,45.432172,-75.726945,100041
10199,45.432192,-75.726065,100042
10199,45.432192,-75.726065,110001
10199,45.432196,-75.725858,110002
10199,45.432228,-75.725092,110003
10199,45.432265,-75.723596,110004
10199,45.432247,-75.722139,110005
10199,45.432248,-75.722037,110006
10199,45.432231,-75.721883,110007
10199,45.432234,-75.721629,110008
10199,45.432234,-75.721629,120001
10199,45.432249,-75.720438,120002
10199,45.432332,-75.718726,120003
10199,45.432411,-75.717551,120004
10199,45.432452,-75.716746,120005
10199,45.432535,-75.715610,120006
10199,45.432535,-75.715610,130001
10199,45.432560,-75.715265,130002
10199,45.432484,-75.714446,130003
10199,45.432451,-75.714010,130004
10199,45.432427,-75.713614,130005
10199,45.432359,-75.712910,130006
10199,45.432086,-75.712955,130007
10199,45.432086,-75.712955,140001
10199,45.431152,-75.713112,140002
10199,45.430989,-75.713136,140003
10199,45.429980,-75.713315,140004
10199,45.429962,-75.713314,140005
10199,45.429935,-75.713340,140006
10199,45.429674,-75.713375,140007
10199,45.429114,-75.713479,140008
10199,45.429114,-75.713479,150001
10199,45.428710,-75.713554,150002
10199,45.427493,-75.713756,150003
10199,45.425959,-75.714008,150004
10199,45.425959,-75.714008,160001
10199,45.424654,-75.714014,160002
10199,45.424654,-75.714014,170001
10199,45.424963,-75.720393,170002
10208,45.425959,-75.714008,10001
10208,45.425249,-75.714124,10002
10208,45.424736,-75.714194,10003
10208,45.424755,-75.713977,10004
10208,45.424654,-75.714014,10005
10208,45.424654,-75.714014,20001
10208,45.425389,-75.719844,20002
10208,45.425389,-75.719844,30001
10208,45.426023,-75.719899,30002
10208,45.426113,-75.719887,30003
10208,45.426068,-75.721099,30004
10208,45.426068,-75.721099,40001
10208,45.426059,-75.721331,40002
10208,45.425966,-75.723260,40003
10208,45.425965,-75.723503,40004
10208,45.425963,-75.723720,40005
10208,45.426415,-75.724010,40006
10208,45.426415,-75.724010,50001
10208,45.426555,-75.724099,50002
10208,45.427183,-75.724477,50003
10208,45.427819,-75.724869,50004
10208,45.428349,-75.725198,50005
10208,45.428349,-75.725198,60001
10208,45.428429,-75.725248,60002
